Lat,Lon,Lat_Lon,County FIPS,County Name,Block FIPS,Block bbox,Block intersection FIPF1,Block intersection FIPF2
40.76408,-73.954926,"(40.76408, -73.954926)",36061,New York,360610116001002,"[-73.955616, 40.763428, -73.952578, 40.765545]",360610116001002,360610116001006
41.934223,-73.912331,"(41.934223, -73.912331)",36027,Dutchess,360271600052000,"[-73.915986, 41.93322, -73.908026, 41.939901]",360271600052000,360271600053009
41.196774,-73.72451,"(41.196774, -73.72451)",36119,Westchester,361190130002000,"[-73.72763, 41.194737, -73.724435, 41.198614]",361190130002000,361190130003019
41.291512,-73.893341,"(41.291512, -73.893341)",36119,Westchester,361190147014015,"[-73.89607, 41.29128, -73.889346, 41.294308]",361190147014015,361190146071007
41.717392,-73.92942,"(41.717392, -73.92942)",36027,Dutchess,360271401011014,"[-73.930873, 41.717216, -73.925437, 41.720231]",360271401011014,360271401011020
41.107639,-73.859665,"(41.107639, -73.859665)",36119,Westchester,361190118004031,"[-73.862889, 41.107245, -73.858617, 41.109365]",361190118004031,361190118004039
41.213886,-73.986,"(41.213886, -73.986)",36087,Rockland,360870106012000,"[-73.990659, 41.209338, -73.985487, 41.214996]",,
41.92643,-73.995453,"(41.92643, -73.995453)",36111,Ulster,361119519003012,"[-73.997615, 41.926064, -73.994312, 41.928352]",361119519003012,361119519004004
41.096249,-73.924957,"(41.096249, -73.924957)",36087,Rockland,360870131001009,"[-73.927489, 41.094609, -73.924693, 41.097129]",360870131001009,360870131002007
41.076408,-73.798767,"(41.076408, -73.798767)",36119,Westchester,361199810001054,"[-73.800471, 41.072668, -73.798592, 41.078153]",361199810001054,361190119022020
41.026333,-73.769585,"(41.026333, -73.769585)",36119,Westchester,361190093003002,"[-73.770495, 41.024777, -73.767737, 41.02723]",361190093003002,361190093003000
42.743382,-73.675735,"(42.743382, -73.675735)",36083,Rensselaer,360830405002003,"[-73.678256, 42.741465, -73.674852, 42.744036]",360830405002003,360830405002002
